Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,21.500000,21.500000,21.500000,21.500000,18.484095,0
2001-01-03,22.200001,22.200001,22.200001,22.200001,19.085901,1000
2001-01-04,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-05,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-08,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-09,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-10,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-11,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-12,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-15,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-16,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-17,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-18,22.200001,22.200001,22.200001,22.200001,19.085901,0
2001-01-19,24.200001,24.200001,24.200001,24.200001,20.805353,170
2001-01-22,24.200001,24.200001,24.200001,24.200001,20.805353,0
2001-01-23,22.875000,25.885000,22.875000,25.885000,22.253990,1000
2001-01-24,25.885000,25.885000,25.885000,25.885000,22.253990,0
2001-01-25,25.885000,25.885000,25.885000,25.885000,22.253990,0
2001-01-26,25.885000,25.885000,25.885000,25.885000,22.253990,0
2001-01-29,25.885000,25.885000,25.885000,25.885000,22.253990,0
2001-01-30,25.799999,25.799999,25.799999,25.799999,22.180912,1000
2001-01-31,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-01,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-02,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-05,26.500000,26.500000,26.500000,26.500000,22.782722,1250
2001-02-06,26.500000,26.500000,26.500000,26.500000,22.782722,0
2001-02-07,26.500000,26.500000,26.500000,26.500000,22.782722,0
2001-02-08,24.500000,25.799999,24.500000,25.799999,22.180912,2000
2001-02-09,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-12,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-13,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-14,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-15,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-16,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-19,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-20,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-21,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-22,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-23,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-26,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-27,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-02-28,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-03-01,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-03-02,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-03-05,25.799999,25.799999,25.799999,25.799999,22.180912,0
2001-03-06,25.799999,25.799999,25.799999,25.799999,22.180912,0
